"Infrastructure
ID",WBS,Category,Subcategory,Project Name,Identified Project funding,Project Description,Project Priority,Project Cost Estimate,Funding Status (%),Funding Phase,Funding Needed,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,"Bond Tranche/
Funding Tier"
89,1.4.5,Traffic,Traffic Signals,Joseph E. Lowery Boulevard @ Westview Drive,Recovery Zone,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",100%,,$0,SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,$0,T,,,,,West End,,,,,,,,,,,Joseph E. Lowery Boulevard,,,Westview Drive,,,,Medium Traffic Signals,5
87,1.4.5,Traffic,Traffic Signals,Joseph E. Lowery Boulevard @Cunningham Place,Recovery Zone,Replacement of traffic signal LED's & signal communications at the intersection.,Low,"$55,660",100%,,$0,SW,,,,SW,1.000,"$55,660",,,,,4,,,,,,,,,,1.000,$0,T,,,,,Harris Chiles,,,,,,,,,,,,,,Joseph E. Lowery Boulevard,,,,Low Traffic Signals,7
219,1.4.5,Traffic,Traffic Signals,Juniper Street @ 10th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Juniper Street,,,10th Street,,,,Low Traffic Signals,3
936,1.4.5,Traffic,Traffic Signals,Juniper Street @ 11th Street,,Replacement of traffic signal communications at the intersection.,Low,"$36,400",,,"$36,400",NE,NE,,,,1.000,"$36,400",,,2,,,,,,,,,,,,1.000,"$36,400",E,,,,,Midtown,,,,,,,,,,,Juniper Street,,,,,,,Low Traffic Signals,3
218,1.4.5,Traffic,Traffic Signals,Juniper Street @ 12th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,,,,,6,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Juniper Street,,,,,,,Medium Traffic Signals,3
318,1.4.5,Traffic,Traffic Signals,Juniper Street @ 3rd Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Juniper Street,,,,,,,Medium Traffic Signals,3
782,1.4.5,Traffic,Traffic Signals,Juniper Street @ 5th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Juniper Street,,,,,,,Medium Traffic Signals,3
946,1.4.5,Traffic,Traffic Signals,Juniper Street @ 6th Street,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",,,"$40,680",NE,NE,,,,1.000,"$40,680",,,2,,,,,,,,,,,,1.000,"$40,680",E,,,,,Midtown,,,,,,,,,,,Juniper Street,,,,,,,Low Traffic Signals,3
876,1.4.5,Traffic,Traffic Signals,Juniper Street @ 7th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",100%,,$0,NE,NE,,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Juniper Street,,,,,,,Low Traffic Signals,3
916,1.4.5,Traffic,Traffic Signals,Juniper Street @ 8th Street,Midtown RTOP,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",100%,,$0,NE,NE,,,,1.000,"$40,680",,,2,,,,,,,,,,,,1.000,$0,E,,,,,Midtown,,,,,,,,,,,Juniper Street,,,,,,,Low Traffic Signals,3
689,1.4.5,Traffic,Traffic Signals,Lakewood Avenue @ Claire Drive,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",0%,,"$87,760",SE,,,SE,,1.000,"$87,760",,1,,,,,,,,,,,,,1.000,"$87,760",Y,,,,,Lakewood Heights,,,,,,,,,,,Lakewood Avenue,,,Claire Drive,,,,High Traffic Signals,2
787,1.4.5,Traffic,Traffic Signals,Lakewood Avenue @ Fleet Street & Georgia 166 Ramps,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",0%,,"$87,760",SE,,,SE,,1.000,"$87,760",,,,,,,,,,,,,12,,1.000,"$87,760",X,,,,,Sylvan Hills,,,,,,,,,,,Lakewood Avenue,,,,,,,High Traffic Signals,2
322,1.4.5,Traffic,Traffic Signals,Lakewood Avenue @ Macon Drive & Lakewood Way,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",0%,,"$87,760",SE,,,SE,,1.000,"$87,760",,,,,,,,,,,,,12,,1.000,"$87,760",Y,,,,,Lakewood Heights,Polar Rock,,,,,,,,,,Lakewood Avenue,Macon Drive,,Lakewood Way,,,,High Traffic Signals,2
325,1.4.5,Traffic,Traffic Signals,Lakewood Avenue @ Sylvan Road,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",0%,,"$87,760",SE,,,SE,,1.000,"$87,760",,,,,,,,,,,,,12,,1.000,"$87,760",X,,,,,Sylvan Hills,,,,,,,,,,,Lakewood Avenue,,,Sylvan Road,,,,High Traffic Signals,2
326,1.4.5,Traffic,Traffic Signals,Lakewood Avenue @ Terrace Way,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",,,"$87,760",SE,,,SE,,1.000,"$87,760",,1,,,,,,,,,,,,,1.000,"$87,760",Y,,,,,Lakewood Heights,,,,,,,,,,,Lakewood Avenue,,,,,,,Medium Traffic Signals,2
878,1.4.5,Traffic,Traffic Signals,Lakewood Avenue Bridge @ Milton Avenue,,"Replacement of traffic signal LED's, controller monitor signal wiring, communication, & timing at the intersection.",Low,"$74,920",,,"$74,920",SE,,,SE,,1.000,"$74,920",,1,,,,,,,,,,,,,1.000,"$74,920",Y,,,,,Chosewood Park,,,,,,,,,,,Lakewood Avenue,,,,,,,Low Traffic Signals,2
327,1.4.5,Traffic,Traffic Signals,Langhorn Street & Lucile Avenue,Recovery Zone,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",100%,,$0,SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,$0,T,,,,,West End,,,,,,,,,,,,,,,,,,High Traffic Signals,3
927,1.4.5,Traffic,Traffic Signals,Lavista Road @ Cheshire Square Driveway,,Replacement of traffic signal communications at the intersection.,Low,"$36,400",,,"$36,400",NE,NE,,,,1.000,"$36,400",,,,,,,6,,,,,,,,1.000,"$36,400",F,,,,,Lindridge/Martin Manor,,,,,,,,,,,Lavista Road,,,,,,,Low Traffic Signals,7
94,1.4.5,Traffic,Traffic Signals,Lawton Street @ Lucile Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",T,,,,,West End,,,,,,,,,,,,,,Lawton Street ,,,,Low Traffic Signals,7
93,1.4.5,Traffic,Traffic Signals,Lawton Street @ Oak Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",T,,,,,West End,,,,,,,,,,,,,,Lawton Street ,,,,Low Traffic Signals,7
538,1.4.5,Traffic,Traffic Signals,Lee Street @ Astor Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,,,,,,,,,12,,1.000,"$87,760",X,,,,,Sylvan Hills,,,,,,,,,,,Lee Street,,,,,,,Low Traffic Signals,3
556,1.4.5,Traffic,Traffic Signals,Lee Street @ Avon Avenue,Recovery Zone,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",100%,,$0,SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,$0,T,,,,,West End,,,,,,,,,,,Lee Street,,,Avon Avenue,,,,High Traffic Signals,3
742,1.4.5,Traffic,Traffic Signals,Lee Street @ Donnelly Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",S,,,,,Oakland City,,,,,,,,,,,Lee Street,,,Donnelly Avenue,,,,Low Traffic Signals,3
329,1.4.5,Traffic,Traffic Signals,Lee Street @ Fort McPherson ,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,,,,,,,,,12,,1.000,"$87,760",S,,,,,Fort McPherson,,,,,,,,,,,Lee Street,,,,,,,Low Traffic Signals,3
80,1.4.5,Traffic,Traffic Signals,Lee Street @ Oak Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",T,,,,,West End,,,,,,,,,,,Lee Street,,,,,,,Low Traffic Signals,3
95,1.4.5,Traffic,Traffic Signals,Lee Street @ Oglethorpe Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",T,,,,,West End,,,,,,,,,,,Lee Street,,,,,,,Low Traffic Signals,3
81,1.4.5,Traffic,Traffic Signals,Lee Street @ Park Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",T,,,,,Atlanta University Center,Harris Chiles,,,,,,,,,,Lee Street,,,,,,,Low Traffic Signals,3
330,1.4.5,Traffic,Traffic Signals,Lee Street @ Sylvan Road,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",S,,,,,Oakland City,,,,,,,,,,,Lee Street,,,Sylvan Road,,,,Low Traffic Signals,3
331,1.4.5,Traffic,Traffic Signals,Lee Street @ Van Buren Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",S,,,,,Oakland City,,,,,,,,,,,Lee Street,,,,,,,Low Traffic Signals,3
332,1.4.5,Traffic,Traffic Signals,Lee Street @ West Whitehall Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",T,,,,,West End,,,,,,,,,,,Lee Street,West Whitehall Street,,,,,,Low Traffic Signals,2
82,1.4.5,Traffic,Traffic Signals,Lee Street @ Westview Drive & West End Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",T,,,,,Atlanta University Center,Harris Chiles,,,,,,,,,,Lee Street,,,Westview Drive,,,,Low Traffic Signals,3
333,1.4.5,Traffic,Traffic Signals,Lee Street @ White Oak Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",0%,,"$87,760",SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,"$87,760",T,,,,,West End,,,,,,,,,,,Lee Street,,,,,,,High Traffic Signals,3
532,1.4.5,Traffic,Traffic Signals,Lee Street @ White Street,Recovery Zone,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",100%,,$0,SW,,,,SW,1.000,"$87,760",,,,,4,,,,,,,,,,1.000,$0,T,,,,,West End,,,,,,,,,,,Lee Street,,,White Street,,,,Low Traffic Signals,3
465,1.4.5,Traffic,Traffic Signals,Lenox Road @ Burke Road & Plantation Driveway,Recovery Zone,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",High,"$68,500",100%,,$0,NE,NE,,,,1.000,"$68,500",,,,,,,,7,,,,,,,1.000,$0,B,,,,,Pine Hills,,,,,,,,,,,,,,Lenox Road,,,,High Traffic Signals,3
152,1.4.5,Traffic,Traffic Signals,Lenox Road @ East Paces Ferry Road,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,Lenox,,,,,,,,,,,,,,Lenox Road,,,,Medium Traffic Signals,6
153,1.4.5,Traffic,Traffic Signals,Lenox Road @ Ferncliff Road,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Medium,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,Pine Hills,,,,,,,,,,,,,,Lenox Road,,,,Medium Traffic Signals,6
290,1.4.5,Traffic,Traffic Signals,Lenox Road @ I85 N/B & S/B Ramps,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",,,"$40,680",NE,NE,,,,1.000,"$40,680",,,,,,,,7,,,,,,,1.000,"$40,680",B,,,,,Pine Hills,,,,,,,,,,,,,,Lenox Road,,,,Low Traffic Signals,7
158,1.4.5,Traffic,Traffic Signals,Lenox Road @ Kingsboro Road,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,Lenox,,,,,,,,,,,,,,Lenox Road,,,,Low Traffic Signals,7
462,1.4.5,Traffic,Traffic Signals,Lenox Road @ Walden Driveway,Recovery Zone,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",High,"$68,500",100%,,$0,NE,NE,,,,1.000,"$68,500",,,,,,,,7,,,,,,,1.000,$0,B,,,,,Pine Hills,,,,,,,,,,,,,,Lenox Road,,,,High Traffic Signals,3
159,1.4.5,Traffic,Traffic Signals,Lenox Road @ Wright Avenue,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",,,"$59,940",NE,NE,,,,1.000,"$59,940",,,,,,,,7,,,,,,,1.000,"$59,940",B,,,,,Lenox,,,,,,,,,,,,,,Lenox Road,,,,Low Traffic Signals,7
285,1.4.5,Traffic,Traffic Signals,Lindbergh Drive @ Adina Drive,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",NE,NE,,,,1.000,"$87,760",,,,,,,,7,,,,,,,1.000,"$87,760",B,,,,,Peachtree Hills,,,,,,,,,,,Lindbergh Drive,,,,,,,Low Traffic Signals,2
284,1.4.5,Traffic,Traffic Signals,Lindbergh Drive @ Garson Drive & MARTA Driveway,,"Replacement of traffic signal LED's, controller monitor signal wiring, communication, & timing at the intersection.",Low,"$74,920",,,"$74,920",NE,NE,,,,1.000,"$74,920",,,,,,,,7,,,,,,,1.000,"$74,920",B,,,,,Peachtree Park,,,,,,,,,,,Lindbergh Drive,,,,,,,Low Traffic Signals,2
882,1.4.5,Traffic,Traffic Signals,Lindbergh Drive @ Lindbergh Way & MARTA Driveway,,"Replacement of traffic signal LED's, controller monitor signal wiring, communication, & timing at the intersection.",Low,"$74,920",,,"$74,920",NE,NE,,,,1.000,"$74,920",,,,,,,,7,,,,,,,1.000,"$74,920",B,,,,,Lindbergh/Morosgo,,,,,,,,,,,Lindbergh Drive,Lindbergh Way,,,,,,Low Traffic Signals,2
907,1.4.5,Traffic,Traffic Signals,Lindbergh Drive @ Peachtree Hills Avenue,,Replacement of traffic signal LED's & signal communications at the intersection.,Low,"$55,660",,,"$55,660",NE,NE,,,,1.000,"$55,660",,,,,,,,7,,,,,,,1.000,"$55,660",B,,,,,Garden Hills,Peachtree Hills,,,,,,,,,,Lindbergh Drive,,,,,,,Low Traffic Signals,2
707,1.4.5,Traffic,Traffic Signals,Luckie Street @ Cone Street,"streetcar, CAP Phase II","Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",100%,,$0,NW,,NW,,,1.000,"$87,760",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,,,,Luckie Street,,,,Medium Traffic Signals,6
231,1.4.5,Traffic,Traffic Signals,Luckie Street @ Merritts Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",NW,,NW,,,1.000,"$87,760",,,2,,,,,,,,,,,,1.000,"$87,760",M,,,,,Downtown,,,,,,,,,,,,,,Luckie Street,,,,Low Traffic Signals,7
339,1.4.5,Traffic,Traffic Signals,Luckie Street @ Pine Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",0%,,"$87,760",NW,,NW,,,1.000,"$87,760",,,2,,,,,,,,,,,,1.000,"$87,760",M,,,,,Downtown,,,,,,,,,,,,,,Luckie Street,,,,High Traffic Signals,3
340,1.4.5,Traffic,Traffic Signals,Luckie Street @ Simpson Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",,,"$87,760",NW,,NW,,,1.000,"$87,760",,,2,,,,,,,,,,,,1.000,"$87,760",M,,,,,Downtown,,,,,,,,,,,,,,Luckie Street,,,,Medium Traffic Signals,6
635,1.4.5,Traffic,Traffic Signals,Macon Drive @ Old Hapeville Road & Bromack Drive,,"Replacement of traffic signal LED's, controller monitor signal wiring, communication, & timing at the intersection.",High,"$74,920",0%,,"$74,920",SE,,,SE,,1.000,"$74,920",,,,,,,,,,,,,12,,1.000,"$74,920",Z,,,,,Browns Mill Park,Swallow Circle/Baywood,,,,,,,,,,Macon Drive,,,Old Hapeville Road,,,,High Traffic Signals,3
942,1.4.5,Traffic,Traffic Signals,Marietta Boulevard @ Capitol Materials Driveway,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",,,"$40,680",NW,,NW,,,1.000,"$40,680",,,,,,,,,,9,,,,,1.000,"$40,680",D,,,,,Hills Park,,,,,,,,,,,Marietta Boulevard,,,,,,,Low Traffic Signals,2
667,1.4.5,Traffic,Traffic Signals,Marietta Boulevard @ Carroll Drive,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",,,"$40,680",NW,,NW,,,1.000,"$40,680",,,,,,,,,,9,,,,,1.000,"$40,680",D,,,,,Bolton,,,,,,,,,,,Marietta Boulevard,,,Carroll Drive,,,,Low Traffic Signals,2
687,1.4.5,Traffic,Traffic Signals,Marietta Boulevard @ Chattahoochee Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",0%,,"$87,760",NW,,NW,,,1.000,"$87,760",,,,,,,,,,9,,,,,1.000,"$87,760",D,,,,,Hills Park,,,,,,,,,,,Marietta Boulevard,,,Chattahoochee Avenue,,,,High Traffic Signals,2
715,1.4.5,Traffic,Traffic Signals,Marietta Boulevard @ Coronet Way,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",,,"$40,680",NW,,NW,,,1.000,"$40,680",,,,,,,,,,9,,,,,1.000,"$40,680",C,,,,,,,,,,,,,,,,Marietta Boulevard,,,,,,,Low Traffic Signals,2
849,1.4.5,Traffic,Traffic Signals,Marietta Boulevard @ Huff Road,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",,,"$40,680",NW,,NW,,,1.000,"$40,680",,,,,,,,,,9,,,,,1.000,"$40,680",D,,,,,Blandtown,,,,,,,,,,,Marietta Boulevard,,,Huff Road,,,,Low Traffic Signals,2
347,1.4.5,Traffic,Traffic Signals,Marietta Boulevard @ Tacoma Drive,,"Replacement of traffic signal LED's, signal wiring, communications, & timing at the intersection.",Low,"$40,680",,,"$40,680",NW,,NW,,,1.000,"$40,680",,,,,,,,,,9,,,,,1.000,"$40,680",D,,,,,Hills Park,Blandtown,,,,,,,,,,Marietta Boulevard,,,,,,,Low Traffic Signals,2
177,1.4.5,Traffic,Traffic Signals,Marietta Road @ Perry Boulevard & Johnson Road,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760",0%,,"$87,760",NW,,NW,,,1.000,"$87,760",,,,,,,,,,9,,,,,1.000,"$87,760",G,,,,,Rockdale,,,,,,,,,,,,,,Marietta Road ,Perry Boulevard,Johnson Road,,High Traffic Signals,3
854,1.4.5,Traffic,Traffic Signals,Marietta Street @ Andrew Young International Boulevard,,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",High,"$68,500",0%,,"$68,500",NW,,NW,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,"$68,500",M,,,,,Downtown,,,,,,,,,,,Marietta Street,Andrew Young International Boulevard,,,,,,High Traffic Signals,2
630,1.4.5,Traffic,Traffic Signals,Marietta Street @ Brady Avenue & 8th Street,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",,,"$87,760",NW,,NW,,,1.000,"$87,760",,,,3,,,,,,,,,,,1.000,"$87,760",E,,,,,Marietta Street Artery,Home Park,,,,,,,,,,,,,,,,,Medium Traffic Signals,6
632,1.4.5,Traffic,Traffic Signals,Marietta Street @ Broad Street,,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",,,"$68,500",NW,,NW,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,"$68,500",M,,,,,Downtown,,,,,,,,,,,Marietta Street,,,,,,,Medium Traffic Signals,2
268,1.4.5,Traffic,Traffic Signals,Marietta Street @ Centennial Olympic Park Drive,Project Shield,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",100%,,$0,NW,,NW,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Marietta Street,,,,,,,Medium Traffic Signals,2
708,1.4.5,Traffic,Traffic Signals,Marietta Street @ Cone Street,,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",,,"$68,500",NW,,NW,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,"$68,500",M,,,,,Downtown,,,,,,,,,,,Marietta Street,,,,,,,Medium Traffic Signals,2
776,1.4.5,Traffic,Traffic Signals,Marietta Street @ Fairlie Street,Project Shield,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",100%,,$0,NW,,NW,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Marietta Street,,,,,,,Medium Traffic Signals,2
791,1.4.5,Traffic,Traffic Signals,Marietta Street @ Forsyth Street,Project Shield,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",100%,,$0,NW,,NW,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,$0,M,,,,,Downtown,,,,,,,,,,,Marietta Street,,,Forsyth Street,,,,Medium Traffic Signals,2
796,1.4.5,Traffic,Traffic Signals,Marietta Street @ Foundry Street,,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",High,"$68,500",0%,,"$68,500",NW,,NW,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,"$68,500",M,,,,,Downtown,,,,,,,,,,,Marietta Street,,,,,,,High Traffic Signals,2
845,1.4.5,Traffic,Traffic Signals,Marietta Street @ Howell Mill Road,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",,,"$87,760",NW,,NW,,,1.000,"$87,760",,,,3,,,,,,,,,,,1.000,"$87,760",E,,,,,Marietta Street Artery,,,,,,,,,,,,,,,,,,Medium Traffic Signals,6
178,1.4.5,Traffic,Traffic Signals,Marietta Street @ Jones Avenue,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Medium,"$87,760",,,"$87,760",NW,,NW,,,1.000,"$87,760",,,2,,,,,,,,,,,,1.000,"$87,760",M,,,,,Downtown,,,,,,,,,,,Marietta Street,,,,,,,Medium Traffic Signals,2
346,1.4.5,Traffic,Traffic Signals,Marietta Street @ Marietta Boulevard,,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",Low,"$87,760",,,"$87,760",NW,,NW,,,1.000,"$87,760",,,,3,,,,,,,,,,,1.000,"$87,760",K,,,,,Knight Park/Howell Station,,,,,,,,,,,,,,,,,,Low Traffic Signals,7
348,1.4.5,Traffic,Traffic Signals,Marietta Street @ Means Street & Regent Drive,,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",Low,"$59,940",,,"$59,940",NW,,NW,,,1.000,"$59,940",,,2,,,,,,,,,,,,1.000,"$59,940",E,,,,,Marietta Street Artery,,,,,,,,,,,Marietta Street,,,,,,,Low Traffic Signals,2
277,1.4.5,Traffic,Traffic Signals,Marietta Street @ Spring Street,,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Medium,"$68,500",,,"$68,500",NW,,NW,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,"$68,500",M,,,,,Downtown,,,,,,,,,,,Marietta Street,Spring Street,,,,,,Medium Traffic Signals,1
613,1.4.5,Traffic,Traffic Signals,Marietta Street @ Thurmond Street,,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",Low,"$68,500",,,"$68,500",NW,,NW,,,1.000,"$68,500",,,2,,,,,,,,,,,,1.000,"$68,500",M,,,,,Downtown,,,,,,,,,,,Marietta Street,,,,,,,Low Traffic Signals,2
